,symbol,market,name,sector,industry,listingdate,settlemonth,representative,homepage,region,close,cap,volume,amount,shares_num,BPS,PER,PBR,EPS,DIV,DPS
85,001060,KOSPI,JW중외제약,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14,12월,대표이사 신영섭,http://www.jw-pharma.co.kr,서울특별시,26150,579956818150,64574,1699993150,22178081,8650,0.0,3.02,0,1.24,325
86,096760,KOSPI,JW홀딩스,기타 금융업,의약품 수출입업,2007-07-31,12월,"이경하, 한성권",http://jw-holdings.co.kr,서울특별시,4055,285653282830,54432,219308905,70444706,1356,0.0,2.99,0,2.22,90
87,035900,KOSDAQ,JYP Ent.,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품,2001-08-30,12월,정욱,http://www.jype.com,서울특별시,56600,2009158047200,588328,33363820900,35497492,7451,27.77,7.6,2038,0.65,369
88,318000,KOSDAQ,KBG,합성고무 및 플라스틱 물질 제조업,"실리콘 소재(실란 모노머, 실리콘 레진&폴리머, 실리콘 융합소재)",2019-08-01,12월,"송정섭, 부삼열(각자 대표이사)",http://www.kbgtech.co.kr/,충청남도,7310,60160020750,35355,258589360,8229825,3904,14.8,1.87,494,1.37,100
89,024840,KOSDAQ,KBI메탈,1차 비철금속 제조업,"동ROD, 모터코어",1994-12-29,12월,김재충,http://www.kbimetal.co.kr,대구광역시,2210,72821374080,253439,557469165,32950848,2939,0.0,0.75,0,0.0,0
90,105560,KOSPI,KB금융,기타 금융업,-,2008-10-10,12월,윤종규,http://www.kbfg.com,서울특별시,60000,24741149640000,694248,41788093400,412352494,121808,5.39,0.49,11134,4.9,2940
91,024120,KOSDAQ,KB오토시스,자동차 신품 부품 제조업,브레이크패드,1994-12-07,12월,김신완,http://www.kbautosys.com,충청남도,7300,83950000000,169649,1232714510,11500000,8880,0.0,0.82,0,1.64,120
92,002380,KOSPI,KCC,기타 화학제품 제조업,"건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",1973-06-25,12월,"정몽진, 정재훈",http://www.kccworld.co.kr,서울특별시,355000,3154697205000,32597,11547853000,8886471,657509,0.0,0.54,0,1.97,7000
93,021320,KOSDAQ,KCC건설,건물 건설업,"토목 건축공사, 분양공사",2001-08-21,12월,"정몽열,윤희영",http://www.kccworld.net,서울특별시,8610,184254000000,9212,78930940,21400000,22186,3.64,0.39,2363,2.09,180
94,344820,KOSPI,KCC글라스,유리 및 유리제품 제조업,판유리 등,2020-01-21,12월,김내환,http://www.kccglass.co.kr,서울특별시,58300,931080849600,15076,880174300,15970512,87084,7.93,0.67,7353,4.12,2400
95,036670,KOSDAQ,KCI,기타 화학제품 제조업,"폴리머,레진,계면활성제",2001-01-03,12월,이진용,http://www.kciltd.com,충청남도,9120,102782400000,22002,200537830,11270000,7674,9.66,1.19,944,2.19,200
96,009070,KOSPI,KCTC,도로 화물 운송업,"화물자동차운송,항만하역,창고보관,컨테이너조작,중량물해상운송",1978-09-29,12월,류주환,http://www.kctc.co.kr,서울특별시,5980,179400000000,100855,601738550,30000000,7431,8.78,0.8,681,1.0,60
97,009440,KOSPI,KC그린홀딩스,기타 금융업,"환경방지오염시설(전기집진기,배연탈황설비,여과집진기,세정식집진기),제어장치 제조,설치",1994-11-05,12월,이태영,http://www.kcgreenholdings.com,서울특별시,4810,107912253800,179626,858075440,22434980,7257,39.43,0.66,122,1.46,70
98,119650,KOSPI,KC코트렐,일반 목적용 기계 제조업,전기집진기 등,2010-01-29,12월,김현수,http://www.kc-cottrell.com/,서울특별시,5290,93104000000,27349,145117180,17600000,2787,6.95,1.9,761,0.0,0
99,044180,KOSDAQ,KD,건물 건설업,건설사업(완성건물),2000-11-16,12월,안태일,http://kdcon.co.kr,경기도,1295,32178990095,210750,275404570,24848641,1578,0.0,0.82,0,0.0,0
100,092220,KOSPI,KEC,반도체 제조업,반도체 제조,2006-10-16,12월,김학남,http://www.kec.co.kr,서울특별시,3340,483458790940,2680931,8927836370,144748141,1884,41.75,1.77,80,0.0,0
101,151860,KOSDAQ,KG ETS,폐기물 처리업,"집단에너지(스팀), 산화동, 폐기물 소각",2013-07-24,12월,엄기민,http://www.kgets.co.kr,경기도,15450,556200000000,726816,11140922800,36000000,8862,11.12,1.74,1389,0.78,120
102,046440,KOSDAQ,KG모빌리언스,소프트웨어 개발 및 공급업,유무선전화결제서비스,2004-12-14,12월,고규영,http://www.mobilians.co.kr,서울특별시,8560,332346862080,159250,1365220050,38825568,7727,10.9,1.11,785,2.57,220
103,016380,KOSPI,KG스틸,1차 철강 제조업,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매",1986-02-03,12월,박성희,http://www.kgdongbusteel.co.kr,서울특별시,17000,1700151249000,1093203,18555077300,100008897,11498,8.91,1.48,1908,0.59,100
104,035600,KOSDAQ,KG이니시스,소프트웨어 개발 및 공급업,전자지불서비스,2002-11-22,12월,유승용,http://www.inicis.com,서울특별시,15750,439494835500,151791,2389183150,27904434,13469,8.71,1.17,1808,2.54,400
105,001390,KOSPI,KG케미칼,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",1989-08-25,12월,"곽정현, 김재익",http://www.kgchem.co.kr,울산광역시,32350,448568205600,140912,4549167550,13866096,34343,5.63,0.94,5749,1.55,500
106,226360,KOSDAQ,KH 건설,토목 건설업,기업인수합병,2015-10-22,12월,강정식,,서울특별시,1205,98850818170,4328327,5283719900,82033874,1363,0.0,0.88,0,0.0,0
107,111870,KOSDAQ,KH 전자,영상 및 음향기기 제조업,"이어폰,헤드폰,키패드",2010-11-05,12월,배보성,http://www.esambon.com,경기도,601,80557269518,355848,210209342,134038718,972,0.0,0.62,0,0.0,0
108,033180,KOSPI,KH 필룩스,전자부품 제조업,"전자부품(페라이트코아,트랜스포머,데코램프) 제조/온라인정보 제공/부동산 임대",2001-12-26,12월,한우근,http://www.feelux.com,경기도,2050,314143191050,822610,1677924830,153240581,3088,0.0,0.66,0,0.0,0
109,060720,KOSDAQ,KH바텍,전자부품 제조업,"휴대폰부품(SHIELD, BRACKET)",2002-05-21,12월,남광희,http://www.khvatec.com,경상북도,22450,531558572900,298702,6694705700,23677442,9612,15.24,2.34,1473,1.34,300
110,001940,KOSPI,KISCO홀딩스,1차 철강 제조업,지주사업,1989-11-13,12월,"장세홍, 이병제 (각자대표)",http://www.kiscoholdings.co.kr,경상남도,17700,286321926000,27108,478495550,16176380,68463,2.18,0.26,8106,2.26,400
111,122450,KOSDAQ,KMH,텔레비전 방송업,방송채널사업 및 방송송출서비스,2011-05-25,12월,"한찬수, 이강봉(각자 대표이사)",http://www.ikmh.co.kr,서울특별시,8230,373114983720,46457,384818240,45335964,5636,9.19,1.46,896,0.0,0
112,052900,KOSDAQ,KMH하이텍,플라스틱제품 제조업,TRAY(반도체Packing재료),2005-01-18,12월,이상국,http://www.kmhhitech.com,충청남도,1760,90865360960,4935432,8835269140,51628046,1998,17.25,0.88,102,0.0,0
113,058400,KOSDAQ,KNN,텔레비전 방송업,방송프로그램 제작 및 송출,2010-11-03,12월,이오상,http://www.knn.co.kr,부산광역시,1280,169510041600,341995,438069465,132429720,1552,18.55,0.82,69,1.56,20
114,114450,KOSDAQ,KPX생명과학,기초 의약물질 및 생물학적 제제 제조업,의약품 중간체 등,2009-12-22,12월,"양준화, 이기성(각자 대표이사)",http://www.kpxls.com/,전라남도,5890,88350000000,163507,943133190,15000000,3753,0.0,1.57,0,0.0,0
115,025000,KOSPI,KPX케미칼,기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",1994-12-27,12월,"양준영, 최재호, 이찬수(각자대표이사)",http://www.kpxchemical.com,서울특별시,51400,248776000000,2268,116797400,4840000,119120,5.08,0.43,10123,5.35,2750
116,092230,KOSPI,KPX홀딩스,기초 화학물질 제조업,지주회사,2006-10-12,12월,양준영,http://www.kpxholdings.com,서울특별시,62700,264885304200,399,24898600,4224646,208904,5.42,0.3,11573,4.78,3000
117,000040,KOSPI,KR모터스,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매",1976-05-25,12월,노성석,http://www.krmotors.com,경상남도,768,73833700608,495488,378750366,96137631,385,0.0,1.99,0,0.0,0
118,044450,KOSPI,KSS해운,해상 운송업,"특수화물해상운송(케이컬,액화가스,냉동.냉장화물),선박대여",2007-10-26,12월,이대성,,서울특별시,11650,268950502000,61413,713187150,23085880,15261,4.67,0.76,2497,3.0,350
119,030200,KOSPI,KT,전기 통신업,"유무선통신사업,공중전기통신사업,인터넷,전자상거래,네트워크(전용회선,데이터통신,초고속사업 등)",1998-12-23,12월,구현모,http://www.kt.com,경기도,37700,9843915161600,1008194,38254364200,261111808,63512,6.55,0.59,5759,5.07,1910
120,033780,KOSPI,KT&G,담배 제조업,"잎담배,제조담배,홍삼,홍삼제품 제조,판매",1999-10-08,12월,"Baek, Bok-In",http://www.ktng.com,대전광역시,84000,11532569748000,348870,29397707900,137292497,76336,10.64,1.1,7898,5.71,4800
121,058850,KOSPI,KTcs,기타 정보 서비스업,전화번호검색 데이타제공/콜센터 운영,2010-09-16,12월,박경원,http://www.ktcs.co.kr,대전광역시,2355,100523175000,134747,315393835,42685000,4374,5.19,0.54,454,4.25,100
122,058860,KOSPI,KTis,기타 정보 서비스업,"114전화번호안내, 고객센터",2010-12-17,12월,윤경근,http://www.ktis.co.kr,서울특별시,2735,95183470000,120166,325810775,34802000,5909,3.57,0.46,767,3.66,100
123,060370,KOSDAQ,KT서브마린,전기 및 통신 공사업,해저케이블등의 건설 및 유지보수 업무,2002-02-15,12월,이승용,http://www.ktsubmarine.co.kr,부산광역시,5880,128772000000,784227,4690643120,21900000,4848,0.0,1.21,0,0.51,30
124,093050,KOSPI,LF,봉제의복 제조업,"기성복, 의류, 잡화, 제조",2006-12-01,12월,"오규식, 김상균 (각자 대표이사)",http://www.lfcorp.com,서울특별시,19350,565794000000,38862,752752650,29240000,46904,4.64,0.41,4169,3.1,600
125,003550,KOSPI,LG,기타 금융업,지주회사,1970-02-13,12월,"구광모, 권봉석",http://www.lg.co.kr,서울특별시,81900,12882951326700,1023699,82276929000,157300993,132574,5.28,0.62,15504,3.42,2800
126,034220,KOSPI,LG디스플레이,전자부품 제조업,액정표시장치(TFT-LCD) 제조,2004-07-23,12월,정호영,http://www.lgdisplay.com,서울특별시,17300,6190211610000,833298,14419097500,357815700,36664,5.22,0.47,3315,3.76,650
127,051900,KOSPI,LG생활건강,기타 화학제품 제조업,"화장품,생활용품 제조,도매",2001-04-25,12월,차 석 용,http://www.lghnh.com,서울특별시,720000,11245101840000,55085,39847316000,15618197,321556,14.29,2.24,50395,1.67,12000
128,373220,KOSPI,LG에너지솔루션,일차전지 및 축전지 제조업,"2차전지 (소형,ESS,자동차전지)",2022-01-27,12월,권영수,,서울특별시,439500,102843000000000,229834,100590444000,234000000,39831,110.9,11.03,3963,0.0,0
129,032640,KOSPI,LG유플러스,전기 통신업,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",2008-04-21,12월,황현식,http://www.uplus.co.kr,서울특별시,13800,6025236781800,514868,7094692600,436611361,17852,8.4,0.77,1642,3.99,550
130,011070,KOSPI,LG이노텍,전자부품 제조업,기타 전자부품 제조업,2008-07-24,12월,정철동,http://www.lginnotek.co.kr,서울특별시,377500,8934332892500,191463,72814468500,23667107,140050,10.06,2.7,37537,0.79,3000
131,066570,KOSPI,LG전자,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",2002-04-22,12월,"조주완, 배두용 (각자 대표이사)",http://www.lge.co.kr,서울특별시,106000,17346668284000,623975,65826215500,163647814,95691,18.52,1.11,5725,0.8,850
132,037560,KOSPI,LG헬로비전,텔레비전 방송업,"케이블TV, 인터넷서비스 등",2012-11-09,12월,송구영,http://www.lghellovision.net,서울특별시,6270,485591843550,452819,2842337390,77446865,8424,18.02,0.74,348,1.75,110
133,051910,KOSPI,LG화학,기초 화학물질 제조업,"유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매",2001-04-25,12월,신학철,http://www.lgchem.com,서울특별시,557000,39319935051000,249598,138917831000,70592343,278455,11.82,2.0,47108,2.15,12000
134,079550,KOSPI,LIG넥스원,무기 및 총포탄 제조업,정밀유도무기 등,2015-10-02,12월,김지찬,http://www.lignex1.com,경기도,79300,1744600000000,176775,14132812900,22000000,35023,16.42,2.26,4829,1.51,1200
135,006260,KOSPI,LS,기타 금융업,"전력용전선,일반전선,통신케이블,동선,알루미늄선,공조기,프라스틱사출성형기 제조,도매",1977-06-30,12월,명노현,http://www.lsholdings.co.kr,서울특별시,61800,1989960000000,177377,10906305300,32200000,127727,6.18,0.48,10004,2.35,1450
136,010120,KOSPI,LS ELECTRIC,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",1994-07-11,12월,"구자균, 김동현",http://www.ls-electric.com,경기도,49050,1471500000000,39395,1944798650,30000000,50525,16.97,0.97,2890,2.04,1000
137,000680,KOSPI,LS네트웍스,상품 종합 도매업,"혁화,의류,등산용품 도매,제조/부동산 임대",1973-11-15,12월,문성준,http://www.lsnetworks.co.kr,경상남도,3350,263990103600,46883,156287225,78803016,7533,4.1,0.44,818,0.0,0
138,229640,KOSPI,LS전선아시아,기타 금융업,,2016-09-22,12월,백인재,http://www.lscnsasia.co.kr,서울특별시,7830,239792802570,49073,385109640,30624879,5107,16.11,1.53,486,3.07,240
139,108320,KOSDAQ,LX세미콘,반도체 제조업,"LDI, T-Con, PMIC, EPD-IC 등",2010-06-08,12월,손보익,http://lxsemicon.com,대전광역시,127800,2078577540000,135079,17152015000,16264300,49208,7.01,2.6,18225,4.23,5400
140,001120,KOSPI,LX인터내셔널,상품 중개업,"전자,기계,화공,유류.금속,의류 수출입,도소매",1976-01-30,12월,윤춘성,http://www.lxinternational.co.kr,서울특별시,38000,1472880000000,320853,12390922550,38760000,49349,3.9,0.77,9733,6.05,2300
141,108670,KOSPI,LX하우시스,플라스틱제품 제조업,"창호재, 자동차부품 등",2009-04-20,12월,"강계웅, 강인식",http://www.lxhausys.com,서울특별시,50700,454660869000,41899,2122510600,8967670,86527,38.82,0.59,1306,0.59,300
142,383800,KOSPI,LX홀딩스,기타 금융업,지주회사,2021-05-27,12월,"구본준, 노진서",http://www.lxholdings.co.kr,서울특별시,9740,742973920600,100075,972632160,76280690,18209,5.3,0.53,1839,0.0,0
143,023150,KOSPI,MH에탄올,알코올음료 제조업,"주정,탄산가스 제조",1996-12-24,12월,최동호,http://www.mhethanol.com,경상남도,10650,78581301900,90435,968327600,7378526,9654,11.73,1.1,908,3.29,350
144,035420,KOSPI,NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",포털 서비스 및 온라인 광고,2008-11-28,12월,최수연,http://www.navercorp.com,경기도,281000,46097792885000,751170,209793169500,164049085,157641,2.53,1.78,110854,0.18,511
145,160550,KOSDAQ,NEW,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화 투자 및 배급,2014-12-23,12월,김우택,http://www.its-new.co.kr,서울특별시,8820,246131854920,532079,4683285280,27906106,4617,0.0,1.91,0,0.0,0
146,053290,KOSDAQ,NE능률,"서적, 잡지 및 기타 인쇄물 출판업",영어학습교재,2002-12-10,12월,주민홍,http://www.neungyule.com,서울특별시,6870,113535729090,58745,403166660,16526307,4925,26.22,1.39,262,0.87,60
147,181710,KOSPI,NHN,소프트웨어 개발 및 공급업,한게임,2013-08-29,12월,정우진,http://www.nhn.com,경기도,32200,1208076863000,61724,1989343550,37517915,53297,9.64,0.6,3341,0.0,0
148,104200,KOSDAQ,NHN벅스,소프트웨어 개발 및 공급업,"디지털음원유통, 온라인음악서비스",2009-10-06,12월,왕문주,http://www.bugs.co.kr,경기도,11800,174965090000,232053,2749796300,14827550,5288,0.0,2.23,0,0.0,0
149,060250,KOSDAQ,NHN한국사이버결제,기타 정보 서비스업,전자결제서비스업,2002-01-08,12월,박준석,http://www.kcp.co.kr,서울특별시,16050,644577806550,237859,3808315250,40160611,4229,20.47,3.8,784,0.0,0
150,005940,KOSPI,NH투자증권,금융 지원 서비스업,"증권업,종합금융",1975-09-30,12월,정영채,http://www.nhqv.com,서울특별시,10700,3548825354700,585508,6272231700,331665921,21630,3.48,0.49,3071,9.81,1050
